ID,score,gender,age
1,77,Male,13
2,66,Female,14
3,56,Female,12
4,67,Male,11
5,88,Female,13
6,43,Female,13
7,66,Female,15
8,69,Male,15
9,83,Female,11
10,73,Male,13
11,92,Female,12
12,58,Male,15
13,49,Female,15
14,76,Female,11
15,62,Female,11
16,71,Female,14
17,54,Male,15
18,42,Female,12
19,62,Male,14
20,49,Female,13
21,68,Female,11
22,91,Male,15
23,41,Female,14
24,70,Male,14
25,82,Male,13
26,40,Female,14
27,59,Male,12
28,62,Male,11
29,86,Male,12
30,58,Female,14
31,97,Male,12
32,92,Female,12
33,78,Male,13
34,71,Male,11
35,56,Male,15
36,79,Male,12
37,61,Female,11
38,76,Male,15
39,72,Female,12
40,65,Male,13
41,45,Female,14
42,56,Male,15
43,41,Male,15
44,71,Female,13
45,47,Female,15
46,87,Female,12
47,56,Female,14
48,68,Female,14
49,67,Male,12
50,63,Male,11
51,62,Female,12
52,59,Male,13
53,89,Female,14
54,94,Male,13
55,72,Male,13
56,90,Male,15
57,45,Female,15
58,68,Female,12
59,45,Male,12
60,77,Female,11
61,42,Female,12
62,71,Male,11
63,61,Female,14
64,53,Female,14
65,90,Female,12
66,70,Female,15
67,57,Male,14
68,96,Male,12
69,67,Male,11
70,41,Female,11
71,70,Male,12
72,79,Male,11
73,75,Female,12
74,75,Female,11
75,59,Male,12
76,76,Female,13
77,81,Female,11
78,99,Female,14
79,88,Male,12
80,47,Male,13
81,95,Female,12
82,74,Male,12
83,46,Female,11
84,98,Male,15
85,89,Male,13
86,67,Male,13
87,65,Male,12
88,77,Female,13
89,94,Female,15
90,73,Female,14
91,80,Male,13
92,86,Female,11
93,63,Female,15
94,52,Male,15
95,60,Male,15
96,82,Male,12
97,40,Male,13
98,93,Female,11
99,90,Female,14
100,56,Male,12
101,49,Female,14
102,46,Female,14
103,93,Female,13
104,90,Male,12
105,80,Female,11
106,99,Female,11
107,82,Male,13
108,66,Female,15
109,67,Female,13
110,73,Male,14
111,53,Male,12
112,61,Female,12
113,81,Male,13
114,48,Male,12
115,55,Male,15
116,73,Female,13
117,74,Female,14
118,47,Male,14
119,62,Male,13
120,76,Male,15
121,63,Male,14
122,88,Female,14
123,73,Female,14
124,71,Male,11
125,87,Female,12
126,76,Female,11
127,79,Male,15
128,77,Female,13
129,56,Male,13
130,81,Female,14
131,93,Female,11
132,65,Male,13
133,80,Female,11
134,52,Male,15
135,86,Male,11
136,76,Male,14
137,85,Female,13
138,82,Male,12
139,62,Female,15
140,47,Male,12
141,45,Female,12
142,45,Female,15
143,77,Male,13
144,46,Male,12
145,80,Male,11
146,77,Female,13
147,91,Female,15
148,71,Male,12
149,77,Female,12
150,88,Male,15
151,64,Female,15
152,58,Male,13
153,67,Female,12
154,63,Female,12
155,98,Female,12
156,61,Female,14
157,50,Male,13
158,54,Male,15
159,78,Female,14
160,67,Female,14
161,56,Male,13
162,54,Female,13
163,60,Female,14
164,72,Male,12
165,66,Female,13
166,49,Male,14
167,66,Male,12
168,61,Male,14
169,45,Female,14
170,65,Male,13
171,51,Male,13
172,44,Male,13
173,57,Female,15
174,68,Female,15
175,66,Male,13
176,85,Male,12
177,52,Male,13
178,70,Male,14
179,52,Female,14
180,55,Male,13
181,41,Female,13
182,55,Female,15
183,72,Male,15
184,89,Male,15
185,49,Male,11
186,94,Female,12
187,89,Male,15
188,55,Female,11
189,98,Male,12
190,47,Male,11
191,73,Female,14
192,41,Male,13
193,75,Male,13
194,60,Female,11
195,61,Female,14
196,87,Female,13
197,57,Male,13
198,63,Male,15
199,79,Male,14
200,74,Male,15
